,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
0,0.0507632298001887,0.00036570472263945116,2.8310938840545473e-10,0.0016043736801342066,1.1558110683517083e-05,6.205510025765915e-11,5013.329073333333,L-Lactate_2018_03,14-03-2018
1,0.048298645408936004,0.0003480786400352861,6.858402343100552e-08,0.0009980421206465802,7.190152508145013e-06,6.201626435289723e-11,4227.436623333333,L-Lactate_2018_03,14-03-2018
2,0.047129289240737185,0.0003395259117609785,3.125265623377612e-10,0.000804282255984279,5.794308520830223e-06,7.017560131867716e-11,3929.097026666667,L-Lactate_2018_03,14-03-2018
3,0.04592763182625128,0.0003308694452922987,7.262280159344187e-10,0.00067599822269986,4.870848885415814e-06,3.0437852547592254e-10,2578.2385366666667,L-Lactate_2018_03,14-03-2018
4,0.04490423906689189,0.00032349767561366165,1.0941562587304192e-09,0.0005988854267245028,4.315720812507886e-06,4.305300992095359e-10,172.26082333333332,L-Lactate_2018_03,14-03-2018
5,0.04344635436900107,0.00031299470159696795,1.0206040662236013e-09,0.0005415192280292493,3.902441635898351e-06,3.666316249732156e-10,50.31253666666667,L-Lactate_2018_03,14-03-2018
6,0.04202710164470143,0.00030277010245512333,8.953959488596244e-10,0.00048061898335008787,3.463919666691616e-06,3.570601421852918e-10,57.21324,L-Lactate_2018_03,14-03-2018
7,0.03944818515855937,0.0002841900900491859,3.164518513680079e-10,0.00045287828079793334,3.262718099773601e-06,5.765906355382594e-11,4045.05561,L-Lactate_2018_03,14-03-2018
8,0.034895822341177614,0.0002513955242891658,8.484079182795095e-10,0.00043448213391531176,3.131301192851353e-06,3.375815656604261e-10,46.18867,L-Lactate_2018_03,14-03-2018
9,0.03064808818377242,0.00022079393241978716,6.963278717446891e-10,0.00041097600724891817,2.961600576317026e-06,2.7775490825231026e-10,47.98794,L-Lactate_2018_03,14-03-2018
10,0.02763955135891579,0.00019911972728158377,6.493848120232024e-10,0.0003975949350527419,2.865090890671705e-06,2.1495232027868812e-10,950.8086266666667,L-Lactate_2018_03,14-03-2018
11,0.0255725791587428,0.00018422961546905224,7.630621356117111e-10,0.00038245725386202526,2.7564099800150583e-06,3.2582099906966327e-10,21.941463333333335,L-Lactate_2018_03,14-03-2018
12,0.02366677324237353,0.00017049931940483763,6.987315698225836e-10,0.0003764220377910033,2.7125913768511835e-06,2.550740057157598e-10,23.33967,L-Lactate_2018_03,14-03-2018
13,0.02227183653020512,0.0001604501319533839,7.719882678526366e-10,0.0003660328653208264,2.638197758293597e-06,3.676663064398402e-10,149.15488333333334,L-Lactate_2018_03,14-03-2018
14,0.02134260755372598,0.00015375602899642208,6.855923009514446e-10,0.0003709746250074577,2.6734189419387265e-06,2.718191127064955e-10,11.892293333333333,L-Lactate_2018_03,14-03-2018
15,0.02078766794077193,0.00014975814005732048,5.75919485916482e-10,0.0003742508163711259,2.6970167805078484e-06,2.7486581443351784e-10,238.88923,L-Lactate_2018_03,14-03-2018
16,0.019822123233474646,0.000142802629479056,9.523009379381658e-10,0.000364694046238146,2.628848983626972e-06,4.4298814307733064e-10,34.22591666666667,L-Lactate_2018_03,14-03-2018
17,0.01924449623604303,0.0001386414684021241,8.381811686825757e-10,0.0003712264897269679,2.675987192011129e-06,4.138106072823873e-10,486.4622733333333,L-Lactate_2018_03,14-03-2018
18,0.018784881289418996,0.00013532907173556484,2.0521707029183624e-10,0.0003668397698023441,2.642940482096807e-06,6.98371070853018e-11,2801.09761,L-Lactate_2018_03,14-03-2018
19,0.018357077827797802,0.00013224733760707378,2.2246224332655646e-10,0.0003793478083069915,2.7330034006604354e-06,7.325190195607308e-11,1551.2597207207207,L-Lactate_2018_03,14-03-2018
20,,,,,,,,L-Lactate_2018_03,14-03-2018
21,,,,,,,,L-Lactate_2018_03,14-03-2018
22,,,,,,,,L-Lactate_2018_03,14-03-2018
23,,,,,,,,L-Lactate_2018_03,14-03-2018
24,,,,,,,,L-Lactate_2018_03,14-03-2018
25,,,,,,,,L-Lactate_2018_03,14-03-2018
26,,,,,,,,L-Lactate_2018_03,14-03-2018
27,,,,,,,,L-Lactate_2018_03,14-03-2018
28,,,,,,,,L-Lactate_2018_03,14-03-2018
29,,,,,,,,L-Lactate_2018_03,14-03-2018
30,,,,,,,,L-Lactate_2018_03,14-03-2018
31,,,,,,,,L-Lactate_2018_03,14-03-2018
32,,,,,,,,L-Lactate_2018_03,14-03-2018
